model,anon_subj_idx,dic
a_B,1,143.40551129
a_B,2,-22.71896781
a_B,3,-215.99595989
a_B,4,210.74584797
a_cpp,1,172.40950455
a_cpp,2,-13.60852151
a_cpp,3,-201.66312531
a_cpp,4,210.03577185
a_cpp_v_B,1,148.87454644
a_cpp_v_B,2,-35.48804007
a_cpp_v_B,3,-213.85797249
a_cpp_v_B,4,185.0882874
intercept,1,194.1356233
intercept,2,2.55231826
intercept,3,-201.72982314
intercept,4,209.25644741
v_B,1,169.44628732
v_B,2,-17.89939295
v_B,3,-213.31276159
v_B,4,184.2935227
v_cpp,1,183.92318017
v_cpp,2,-1.70765635
v_cpp,3,-204.06492719
v_cpp,4,206.5025253
v_cpp_a_B,1,134.5640691
v_cpp_a_B,2,-27.70727031
v_cpp_a_B,3,-219.53499871
v_cpp_a_B,4,208.11529848
